"X.1","X","tag.individual.identifier","individual.local.identifier","location.lat","location.long","timestamp","data_owner","individual.identifier"
20847,20847,725539,"BC #27 Wyatt",32.284017,-111.031732,"2022-02-11 3:02:09","mollohan_baldwin","Wyatt"
20848,20848,725539,"BC #27 Wyatt",32.283995,-111.031732,"2022-02-11 7:00:08","mollohan_baldwin","Wyatt"
20849,20849,725539,"BC #27 Wyatt",32.290395,-111.042889,"2022-02-11 13:00:12","mollohan_baldwin","Wyatt"
20850,20850,725539,"BC #27 Wyatt",32.257647,-111.041031,"2022-02-11 19:00:12","mollohan_baldwin","Wyatt"
20851,20851,725539,"BC #27 Wyatt",32.297712,-111.041522,"2022-02-12 1:00:14","mollohan_baldwin","Wyatt"
20852,20852,725539,"BC #27 Wyatt",32.277016,-111.041314,"2022-02-12 13:00:11","mollohan_baldwin","Wyatt"
20853,20853,725539,"BC #27 Wyatt",32.253508,-111.047578,"2022-02-12 19:00:09","mollohan_baldwin","Wyatt"
20854,20854,725539,"BC #27 Wyatt",32.269324,-111.035259,"2022-02-13 1:00:10","mollohan_baldwin","Wyatt"
20855,20855,725539,"BC #27 Wyatt",32.254982,-111.044823,"2022-02-13 13:00:10","mollohan_baldwin","Wyatt"
20856,20856,725539,"BC #27 Wyatt",32.2579,-111.05645,"2022-02-13 19:00:09","mollohan_baldwin","Wyatt"
20857,20857,725539,"BC #27 Wyatt",32.298123,-111.039731,"2022-02-14 7:00:19","mollohan_baldwin","Wyatt"
20858,20858,725539,"BC #27 Wyatt",32.258187,-111.047548,"2022-02-14 13:00:09","mollohan_baldwin","Wyatt"
20859,20859,725539,"BC #27 Wyatt",32.257597,-111.04745,"2022-02-14 19:00:11","mollohan_baldwin","Wyatt"
20860,20860,725539,"BC #27 Wyatt",32.278281,-111.020599,"2022-02-15 7:00:11","mollohan_baldwin","Wyatt"
20861,20861,725539,"BC #27 Wyatt",32.287574,-111.053671,"2022-02-15 13:00:10","mollohan_baldwin","Wyatt"
20862,20862,725539,"BC #27 Wyatt",32.264985,-111.011452,"2022-02-15 19:00:15","mollohan_baldwin","Wyatt"
20863,20863,725539,"BC #27 Wyatt",32.287337,-111.027122,"2022-02-16 1:00:14","mollohan_baldwin","Wyatt"
20864,20864,725539,"BC #27 Wyatt",32.287071,-111.027413,"2022-02-16 7:00:10","mollohan_baldwin","Wyatt"
20865,20865,725539,"BC #27 Wyatt",32.276084,-111.021674,"2022-02-16 13:00:09","mollohan_baldwin","Wyatt"
20866,20866,725539,"BC #27 Wyatt",32.268406,-111.052727,"2022-02-16 19:00:15","mollohan_baldwin","Wyatt"
20867,20867,725539,"BC #27 Wyatt",32.298871,-111.04033,"2022-02-17 1:00:11","mollohan_baldwin","Wyatt"
20868,20868,725539,"BC #27 Wyatt",32.274595,-111.057324,"2022-02-17 13:00:26","mollohan_baldwin","Wyatt"
20869,20869,725539,"BC #27 Wyatt",32.261681,-111.045799,"2022-02-17 19:00:13","mollohan_baldwin","Wyatt"
20870,20870,725539,"BC #27 Wyatt",32.297746,-111.039192,"2022-02-18 1:00:10","mollohan_baldwin","Wyatt"
20871,20871,725539,"BC #27 Wyatt",32.298877,-111.038384,"2022-02-18 7:00:39","mollohan_baldwin","Wyatt"
20872,20872,725539,"BC #27 Wyatt",32.279288,-111.020562,"2022-02-18 13:00:11","mollohan_baldwin","Wyatt"
20873,20873,725539,"BC #27 Wyatt",32.254923,-111.038009,"2022-02-18 19:00:12","mollohan_baldwin","Wyatt"
20874,20874,725539,"BC #27 Wyatt",32.276648,-111.02529,"2022-02-19 1:00:20","mollohan_baldwin","Wyatt"
20875,20875,725539,"BC #27 Wyatt",32.278347,-111.026193,"2022-02-19 7:00:20","mollohan_baldwin","Wyatt"
20876,20876,725539,"BC #27 Wyatt",32.285674,-111.034967,"2022-02-19 13:00:09","mollohan_baldwin","Wyatt"
20877,20877,725539,"BC #27 Wyatt",32.257765,-111.040937,"2022-02-19 19:00:10","mollohan_baldwin","Wyatt"
20878,20878,725539,"BC #27 Wyatt",32.284197,-111.026893,"2022-02-20 7:00:11","mollohan_baldwin","Wyatt"
20879,20879,725539,"BC #27 Wyatt",32.254427,-111.0434,"2022-02-20 13:00:08","mollohan_baldwin","Wyatt"
20880,20880,725539,"BC #27 Wyatt",32.25821,-111.041085,"2022-02-20 19:00:12","mollohan_baldwin","Wyatt"
20881,20881,725539,"BC #27 Wyatt",32.298937,-111.040436,"2022-02-21 1:00:14","mollohan_baldwin","Wyatt"
20882,20882,725539,"BC #27 Wyatt",32.299838,-111.043735,"2022-02-21 7:00:07","mollohan_baldwin","Wyatt"
20883,20883,725539,"BC #27 Wyatt",32.275368,-111.050977,"2022-02-21 13:00:09","mollohan_baldwin","Wyatt"
20884,20884,725539,"BC #27 Wyatt",32.25457,-111.027167,"2022-02-21 19:00:13","mollohan_baldwin","Wyatt"
20885,20885,725539,"BC #27 Wyatt",32.251663,-111.023358,"2022-02-22 1:00:26","mollohan_baldwin","Wyatt"
20886,20886,725539,"BC #27 Wyatt",32.251999,-111.023189,"2022-02-22 7:00:10","mollohan_baldwin","Wyatt"
20887,20887,725539,"BC #27 Wyatt",32.247989,-111.021111,"2022-02-22 13:00:13","mollohan_baldwin","Wyatt"
20888,20888,725539,"BC #27 Wyatt",32.258047,-111.022946,"2022-02-22 19:00:08","mollohan_baldwin","Wyatt"
20889,20889,725539,"BC #27 Wyatt",32.258063,-111.023022,"2022-02-23 1:00:08","mollohan_baldwin","Wyatt"
20890,20890,725539,"BC #27 Wyatt",32.25808,-111.022873,"2022-02-23 7:00:14","mollohan_baldwin","Wyatt"
20891,20891,725539,"BC #27 Wyatt",32.258015,-111.022874,"2022-02-23 13:00:08","mollohan_baldwin","Wyatt"
20892,20892,725539,"BC #27 Wyatt",32.25808,-111.022849,"2022-02-23 19:00:17","mollohan_baldwin","Wyatt"
20893,20893,725539,"BC #27 Wyatt",32.258116,-111.022755,"2022-02-24 1:00:16","mollohan_baldwin","Wyatt"
20894,20894,725539,"BC #27 Wyatt",32.257806,-111.022918,"2022-02-24 7:00:08","mollohan_baldwin","Wyatt"
20895,20895,725539,"BC #27 Wyatt",32.253664,-111.047425,"2022-02-24 13:00:20","mollohan_baldwin","Wyatt"
20896,20896,725539,"BC #27 Wyatt",32.272639,-111.04054,"2022-02-24 19:00:07","mollohan_baldwin","Wyatt"
20897,20897,725539,"BC #27 Wyatt",32.298983,-111.041528,"2022-02-25 1:00:16","mollohan_baldwin","Wyatt"
20898,20898,725539,"BC #27 Wyatt",32.278009,-111.023042,"2022-02-25 11:00:42","mollohan_baldwin","Wyatt"
20899,20899,725539,"BC #27 Wyatt",32.254849,-111.045159,"2022-02-25 13:00:11","mollohan_baldwin","Wyatt"
20900,20900,725539,"BC #27 Wyatt",32.260055,-111.046671,"2022-02-25 19:00:12","mollohan_baldwin","Wyatt"
20901,20901,725539,"BC #27 Wyatt",32.260106,-111.046292,"2022-02-26 1:00:12","mollohan_baldwin","Wyatt"
20902,20902,725539,"BC #27 Wyatt",32.257952,-111.046396,"2022-02-26 7:00:06","mollohan_baldwin","Wyatt"
